"year","site","biomass.AnnBienn","biomass.C3grass","biomass.C4grass","biomass.Forb","biomass.Shrub","biomass.Succulent"
83,"1",0.147333333333333,1.38733333333333,19.2726666666667,1.88066666666667,2.74933333333333,0
84,"1",0.00333333333333333,0.98,19,2.3,0.334,0
85,"1",0,0,13.4093333333333,0.898666666666667,0.601333333333333,0
86,"1",0.00533333333333333,0,7.91733333333333,1.82,0.213333333333333,0
87,"1",0.018,0.678,9.13866666666667,2.15133333333333,0.356,0
88,"1",0.0206666666666667,0.803333333333333,11.648,2.29133333333333,1.47733333333333,0
89,"1",0.00333333333333333,1.10933333333333,9.25333333333333,1.71133333333333,1.04533333333333,0
90,"1",0.0106666666666667,0.982666666666667,8.82533333333333,2.41133333333333,1.92066666666667,0
91,"1",0.0386666666666667,0.186666666666667,13.9946666666667,2.358,0.882,0
92,"1",0.0153333333333333,0.751333333333333,8.81933333333333,1.55533333333333,1.45066666666667,4.394
93,"1",0.0253333333333333,1.082,5.48533333333333,1.60533333333333,0.637333333333333,0.633333333333333
94,"1",0.006,0.701333333333333,7.13866666666667,1.48533333333333,1.076,0.776666666666667
95,"1",1.02,1.50733333333333,10.6146666666667,4.06,3.21666666666667,1.29533333333333
96,"1",0.0446666666666667,1.01333333333333,13.974,2.67066666666667,2.188,0.510666666666667
97,"1",0,0.870666666666667,11.8233333333333,1.8402,3.838,1.43866666666667
98,"1",0.074,0.255333333333333,9.06066666666667,1.24533333333333,2.60133333333333,1.42066666666667
1999,"1",0.238666666666667,0.56,16.9146666666667,2.11733333333333,1.77533333333333,2.60133333333333
2000,"1",0,0.744,5.54466666666667,0.952,2.07733333333333,4.32466666666667
2001,"1",0.0806666666666667,2.19733333333333,7.816,2.842,4.54533333333333,2.15133333333333
2002,"1",0,0.075,2.09785714285714,0.172142857142857,0.160714285714286,5.46285714285714
83,"2",0.516,1.396,18.994,2.088,0.0333333333333333,0
84,"2",0,1.19,15.518,2.168,0.314,0
85,"2",0,0,13.56,2.05666666666667,1.798,0
86,"2",0.04,0,6.24333333333333,2.45933333333333,0,0
87,"2",0.109333333333333,1.53066666666667,9.402,2.636,3.72,0
88,"2",0,0.722666666666667,9.838,2.80866666666667,0.858666666666667,0
89,"2",0.139333333333333,0.164666666666667,9.55133333333333,2.21733333333333,0.938,0
90,"2",0.115333333333333,1.698,10.3393333333333,3.76666666666667,0.266,0
91,"2",0.332666666666667,0.53,16.9493333333333,4.19933333333333,0.269333333333333,0
92,"2",0.184666666666667,1.35866666666667,12.4933333333333,2.08666666666667,0.494666666666667,1.91266666666667
93,"2",0.076,0.996666666666667,5.60666666666667,1.59733333333333,0.999333333333333,0.108
94,"2",0.207333333333333,1.21133333333333,10.702,2.09933333333333,0.593333333333333,1.94666666666667
95,"2",6.78533333333333,2.584,12.5393333333333,3.98533333333333,1.03933333333333,0.843333333333333
96,"2",0.0835714285714286,2.93857142857143,16.0521428571429,1.76571428571429,0.947142857142857,0.172142857142857
97,"2",0.108,1.76733333333333,16.4906666666667,2.37333333333333,1.71266666666667,1.27466666666667
98,"2",0.0486666666666667,2.89666666666667,12.3106666666667,1.38666666666667,3.94733333333333,5.384
1999,"2",0.106666666666667,4.62333333333333,13.916,2.79266666666667,4.55533333333333,4.48066666666667
2000,"2",0,1.79,8.13266666666667,0.374666666666667,1.37733333333333,1.20266666666667
2001,"2",0.0386666666666667,0.778666666666667,7.32133333333333,1.63,4.606,1.38733333333333
2002,"2",0,0.165333333333333,2.07733333333333,0.098,1.226,7.142
83,"3",0.863333333333333,0.606666666666667,28.106,1.09933333333333,0,0
84,"3",1.34333333333333,0.177333333333333,28.2626666666667,4.63066666666667,0,0
85,"3",0,0.35,30.5242857142857,1.01071428571429,0,0
86,"3",3.11133333333333,0.319333333333333,14.0213333333333,4.57333333333333,0,0
87,"3",2.98333333333333,0.268666666666667,13.7126666666667,2.766,0,0
88,"3",0.377333333333333,1.51133333333333,18.2413333333333,5.508,0,0
89,"3",0.170666666666667,0.602,11.342,3.97466666666667,0,0
90,"3",2.10666666666667,0.174666666666667,14.9786666666667,6.69333333333333,0,0
91,"3",0.427333333333333,1.318,21.942,4.68066666666667,0,0
92,"3",0.727333333333333,0.493333333333333,38.1433333333333,3.53866666666667,0,0
93,"3",0.088,0.162,11.4473333333333,2.60933333333333,0,0
94,"3",0.329333333333333,0.333333333333333,8.78,2.098,0,0
95,"3",14.1207692307692,0.430769230769231,16.3653846153846,5.77692307692308,0,0
96,"3",1.582,1.63333333333333,39.8466666666667,5.518,0,0
97,"3",0,1.47333333333333,31.04,4.58,0.283333333333333,0.181333333333333
98,"3",0.15,1.01866666666667,22.288,6.98466666666667,1.454,0.00333333333333333
1999,"3",3.10466666666667,3.17666666666667,26.4486666666667,10.614,0.827333333333333,0.5
2000,"3",0,0.168666666666667,3.65333333333333,2.922,1.75733333333333,0.171333333333333
2001,"3",1.494,0.864666666666667,15.6026666666667,7.25066666666667,0.0366666666666667,0
2002,"3",0,0,2.01533333333333,1.524,0.244,0
