year,site,biomass.AnnBienn,biomass.C3grass,biomass.C4grass,biomass.Forb,biomass.Shrub,biomass.Succulent,,,
83,1,0.147333333,1.387333333,19.27266667,1.880666667,2.749333333,0,,25.43733333,108.4373333
84,1,0.003333333,0.98,19,2.3,0.334,0,,22.61733333,106.6173333
85,1,0,0,13.40933333,0.898666667,0.601333333,0,,14.90933333,99.90933333
86,1,0.005333333,0,7.917333333,1.82,0.213333333,0,,9.956,95.956
87,1,0.018,0.678,9.138666667,2.151333333,0.356,0,,12.342,99.342
88,1,0.020666667,0.803333333,11.648,2.291333333,1.477333333,0,,16.24066667,104.2406667
89,1,0.003333333,1.109333333,9.253333333,1.711333333,1.045333333,0,,13.12266667,102.1226667
90,1,0.010666667,0.982666667,8.825333333,2.411333333,1.920666667,0,,14.15066667,104.1506667
91,1,0.038666667,0.186666667,13.99466667,2.358,0.882,0,,17.46,108.46
92,1,0.015333333,0.751333333,8.819333333,1.555333333,1.450666667,4.394,,16.986,108.986
93,1,0.025333333,1.082,5.485333333,1.605333333,0.637333333,0.633333333,,9.468666667,102.4686667
94,1,0.006,0.701333333,7.138666667,1.485333333,1.076,0.776666667,,11.184,105.184
95,1,1.02,1.507333333,10.61466667,4.06,3.216666667,1.295333333,,21.714,116.714
96,1,0.044666667,1.013333333,13.974,2.670666667,2.188,0.510666667,,20.40133333,116.4013333
97,1,0,0.870666667,11.82333333,1.8402,3.838,1.438666667,,19.81086667,116.8108667
98,1,0.074,0.255333333,9.060666667,1.245333333,2.601333333,1.420666667,,14.65733333,112.6573333
1999,1,0.238666667,0.56,16.91466667,2.117333333,1.775333333,2.601333333,,24.20733333,2023.207333
2000,1,0,0.744,5.544666667,0.952,2.077333333,4.324666667,,13.64266667,2013.642667
2001,1,0.080666667,2.197333333,7.816,2.842,4.545333333,2.151333333,,19.63266667,2020.632667
2002,1,0,0.075,2.097857143,0.172142857,0.160714286,5.462857143,,7.968571429,2009.968571
83,2,0.516,1.396,18.994,2.088,0.033333333,0,,,
84,2,0,1.19,15.518,2.168,0.314,0,,16.2954719,
85,2,0,0,13.56,2.056666667,1.798,0,,5.036102047,
86,2,0.04,0,6.243333333,2.459333333,0,0,,,
87,2,0.109333333,1.530666667,9.402,2.636,3.72,0,,,
88,2,0,0.722666667,9.838,2.808666667,0.858666667,0,,,
89,2,0.139333333,0.164666667,9.551333333,2.217333333,0.938,0,,,
90,2,0.115333333,1.698,10.33933333,3.766666667,0.266,0,,,
91,2,0.332666667,0.53,16.94933333,4.199333333,0.269333333,0,,,
92,2,0.184666667,1.358666667,12.49333333,2.086666667,0.494666667,1.912666667,,,
93,2,0.076,0.996666667,5.606666667,1.597333333,0.999333333,0.108,,,
94,2,0.207333333,1.211333333,10.702,2.099333333,0.593333333,1.946666667,,,
95,2,6.785333333,2.584,12.53933333,3.985333333,1.039333333,0.843333333,,,
96,2,0.083571429,2.938571429,16.05214286,1.765714286,0.947142857,0.172142857,,,
97,2,0.108,1.767333333,16.49066667,2.373333333,1.712666667,1.274666667,,,
98,2,0.048666667,2.896666667,12.31066667,1.386666667,3.947333333,5.384,,,
1999,2,0.106666667,4.623333333,13.916,2.792666667,4.555333333,4.480666667,,,
2000,2,0,1.79,8.132666667,0.374666667,1.377333333,1.202666667,,,
2001,2,0.038666667,0.778666667,7.321333333,1.63,4.606,1.387333333,,,
2002,2,0,0.165333333,2.077333333,0.098,1.226,7.142,,,
83,3,0.863333333,0.606666667,28.106,1.099333333,0,0,,,
84,3,1.343333333,0.177333333,28.26266667,4.630666667,0,0,,,
85,3,0,0.35,30.52428571,1.010714286,0,0,,,
86,3,3.111333333,0.319333333,14.02133333,4.573333333,0,0,,,
87,3,2.983333333,0.268666667,13.71266667,2.766,0,0,,,
88,3,0.377333333,1.511333333,18.24133333,5.508,0,0,,,
89,3,0.170666667,0.602,11.342,3.974666667,0,0,,,
90,3,2.106666667,0.174666667,14.97866667,6.693333333,0,0,,,
91,3,0.427333333,1.318,21.942,4.680666667,0,0,,,
92,3,0.727333333,0.493333333,38.14333333,3.538666667,0,0,,,
93,3,0.088,0.162,11.44733333,2.609333333,0,0,,,
94,3,0.329333333,0.333333333,8.78,2.098,0,0,,,
95,3,14.12076923,0.430769231,16.36538462,5.776923077,0,0,,,
96,3,1.582,1.633333333,39.84666667,5.518,0,0,,,
97,3,0,1.473333333,31.04,4.58,0.283333333,0.181333333,,,
98,3,0.15,1.018666667,22.288,6.984666667,1.454,0.003333333,,,
1999,3,3.104666667,3.176666667,26.44866667,10.614,0.827333333,0.5,,,
2000,3,0,0.168666667,3.653333333,2.922,1.757333333,0.171333333,,,
2001,3,1.494,0.864666667,15.60266667,7.250666667,0.036666667,0,,,
2002,3,0,0,2.015333333,1.524,0.244,0,,,
,,,,,,,,,,
,,0.727050122,0.988505678,13.94246117,2.855183797,1.124075397,0.861994444,,,
