"year","site","AGSM","ALTE","ARFR","ARLO","ASGR","ASOX","BOGR","BUDA","CAFI","CAHE","CHAL","CHLE","CHNA","CHVI","COVI","EREF","EUGL","FEOC","FORB","GACO","GRSQ","GUSA","HASP","HOJU","IPLA","LARE","LEDE","LIIN","LUPU","LYJU","MATA","MILI","MUTO","OECO","OPPO","PEAL","PEAN","PEGR","PESE","PIOP","PLPA","POOL","PSTE","SAIB","SCPA","SETR","SIHY","SPCO","SPCR","STCO","TAPA","THFI","THME","TOGR","TRDU","TROC"
"83","1",0.810666666666667,0,2.49266666666667,0.252666666666667,0,0,19.02,0,0,1.63866666666667,0,0.00333333333333333,0,0,0,0,0,0,0.0626666666666667,0,0,0.256666666666667,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.576666666666667,0.179333333333333,0,0,0,0,0,0,0,0
"84","1",0.626666666666667,0,0,0.566,0,0,18.434,0,0,2.02666666666667,0,0,0,0,0,0,0,0,0.196,0,0,0.334,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353333333333333,0.0773333333333333,0,0,0,0,0,0,0,0
"85","1",0,0,0.397333333333333,0.0606666666666667,0,0,13.3486666666667,0,0,0.6,0,0,0,0,0,0,0,0,0.159333333333333,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139333333333333,0,0,0,0,0,0,0,0
"86","1",0,0,0.213333333333333,0,0,0,7.91733333333333,0,0,1.316,0,0,0,0,0,0,0,0.00533333333333333,0.413333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906666666666667,0,0,0,0,0,0,0,0
"87","1",0.668666666666667,0,0.33,0,0,0,9.13866666666667,0,0,1.87933333333333,0,0,0,0,0,0,0,0.006,0.113333333333333,0,0,0.026,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933333333333333,0.158666666666667,0,0,0,0,0,0,0,0
"88","1",0.733333333333333,0,1.424,0,0,0,11.648,0,0,1.57,0,0.0166666666666667,0,0,0,0,0,0.004,0.464,0,0,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.257333333333333,0,0,0,0,0,0,0,0
"89","1",1.04333333333333,0,0.294,0.29,0,0,8.96333333333333,0,0,1.296,0,0.00333333333333333,0,0,0,0,0,0,0.180666666666667,0,0,0.751333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.234666666666667,0,0,0,0,0,0,0,0
"90","1",0.982666666666667,0,1.81533333333333,0.0773333333333333,0,0,8.748,0,0,1.628,0,0.00466666666666667,0,0,0,0,0,0,0.326,0,0,0.105333333333333,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.457333333333333,0,0,0,0,0,0,0,0
"91","1",0.186666666666667,0,0.058,1.26666666666667,0,0,12.728,0,0,1.94333333333333,0,0.0353333333333333,0,0,0,0,0,0,0.098,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0.00533333333333333,0,0,0,0,0.311333333333333,0,0,0,0,0,0,0,0
"92","1",0.719333333333333,0,0.26,0.338,0,0,4.098,4.38333333333333,0,1.29533333333333,0,0,0,0,0,0,0,0,0.200666666666667,0,0,1.19066666666667,0,0,0,0,0.0153333333333333,0,0,0,0,0,0,0,4.394,0,0,0,0,0,0,0,0,0,0,0,0.032,0.0593333333333333,0,0,0,0,0,0,0,0
