year,site,AGSM,ALTE,ARFR,ARLO,ASGR,ASOX,BOGR,BUDA,CAFI,CAHE,CHAL,CHLE,CHNA,CHVI,COVI,EREF,EUGL,FEOC,FORB,GACO,GRSQ,GUSA,HASP,HOJU,IPLA,LARE,LEDE,LIIN,LUPU,LYJU,MATA,MILI,MUTO,OECO,OPPO,PEAL,PEAN,PEGR,PESE,PIOP,PLPA,POOL,PSTE,SAIB,SCPA,SETR,SIHY,SPCO,SPCR,STCO,TAPA,THFI,THME,TOGR,TRDU,TROC
83,1,0.810666667,0,2.492666667,0.252666667,0,0,19.02,0,0,1.638666667,0,0.003333333,0,0,0,0,0,0,0.062666667,0,0,0.256666667,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.576666667,0.179333333,0,0,0,0,0,0,0,0
84,1,0.626666667,0,0,0.566,0,0,18.434,0,0,2.026666667,0,0,0,0,0,0,0,0,0.196,0,0,0.334,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353333333,0.077333333,0,0,0,0,0,0,0,0
85,1,0,0,0.397333333,0.060666667,0,0,13.34866667,0,0,0.6,0,0,0,0,0,0,0,0,0.159333333,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139333333,0,0,0,0,0,0,0,0
86,1,0,0,0.213333333,0,0,0,7.917333333,0,0,1.316,0,0,0,0,0,0,0,0.005333333,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090666667,0,0,0,0,0,0,0,0
87,1,0.668666667,0,0.33,0,0,0,9.138666667,0,0,1.879333333,0,0,0,0,0,0,0,0.006,0.113333333,0,0,0.026,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009333333,0.158666667,0,0,0,0,0,0,0,0
88,1,0.733333333,0,1.424,0,0,0,11.648,0,0,1.57,0,0.016666667,0,0,0,0,0,0.004,0.464,0,0,0.053333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.257333333,0,0,0,0,0,0,0,0
89,1,1.043333333,0,0.294,0.29,0,0,8.963333333,0,0,1.296,0,0.003333333,0,0,0,0,0,0,0.180666667,0,0,0.751333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.234666667,0,0,0,0,0,0,0,0
90,1,0.982666667,0,1.815333333,0.077333333,0,0,8.748,0,0,1.628,0,0.004666667,0,0,0,0,0,0,0.326,0,0,0.105333333,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.457333333,0,0,0,0,0,0,0,0
91,1,0.186666667,0,0.058,1.266666667,0,0,12.728,0,0,1.943333333,0,0.035333333,0,0,0,0,0,0,0.098,0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.005333333,0,0,0,0,0.311333333,0,0,0,0,0,0,0,0
92,1,0.719333333,0,0.26,0.338,0,0,4.098,4.383333333,0,1.295333333,0,0,0,0,0,0,0,0,0.200666667,0,0,1.190666667,0,0,0,0,0.015333333,0,0,0,0,0,0,0,4.394,0,0,0,0,0,0,0,0,0,0,0,0.032,0.059333333,0,0,0,0,0,0,0,0
